Date,Open,High,Low,Close,Volume
07/25/2025,"88.28","89.07","87.90","88.89","2,552,610"
07/24/2025,"88.42","88.51","87.80","88.00","2,188,769"
07/23/2025,"89.36","89.60","87.92","88.62","2,925,877"
07/22/2025,"88.08","89.15","87.87","89.00","2,523,512"
07/21/2025,"88.18","88.57","87.53","87.55","2,396,164"
07/18/2025,"88.50","89.07","88.10","88.35","6,501,843"
07/17/2025,"89.00","89.38","88.00","88.66","2,596,644"
07/16/2025,"88.57","89.18","87.58","89.07","2,349,068"
07/15/2025,"90.10","90.70","88.08","88.19","2,209,470"
07/14/2025,"87.64","91.42","87.64","90.59","4,127,912"
07/11/2025,"88.03","88.36","87.36","87.84","1,943,647"
07/10/2025,"87.47","88.58","86.54","88.56","2,525,775"
07/09/2025,"89.61","90.28","87.70","87.92","3,287,845"
07/08/2025,"88.98","90.97","88.85","90.21","2,430,750"
07/07/2025,"89.04","89.68","88.67","89.42","2,902,349"
07/03/2025,"88.88","89.66","88.51","89.19","1,964,531"
07/02/2025,"91.17","91.50","87.83","88.38","3,496,737"
07/01/2025,"91.40","91.96","90.44","91.50","3,133,408"
06/30/2025,"90.02","91.41","90.02","91.05","1,909,942"
06/27/2025,"90.22","91.09","89.55","90.32","2,285,246"
06/26/2025,"89.60","90.40","89.28","90.29","1,532,552"
06/25/2025,"90.60","90.64","88.98","89.23","1,415,940"
